unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay;Street Name;Latitude;Longitude;Hot Tub;Pool
AIR40594841;2019-12;92315;Big Bear Lake;Professionals;3;2.5;9;1598;3;0.666666667;799;6;2;NULL_STREET;34.22484;-116.8486;0;0
AIR40612364;2019-12;92315;Big Bear Lake;Professionals;3;2;9;3524;7;0.571428571;881;7;6;NULL_STREET;34.22506;-116.84952;0;0
AIR40618460;2019-12;92314;Big Bear City;Professionals;3;2;6;0;3;0;;;;NULL_STREET;34.23779;-116.85167;0;0
AIR40632258;2019-12;92315;Big Bear Lake;Professionals;3;2;8;5549;14;0.642857143;616.5555556;2;3;NULL_STREET;34.23575;-116.85222;0;0
AIR40634138;2019-12;92314;Big Bear City;Single Owners;5;3.5;10;0;2;0;;;;NULL_STREET;34.263569;-116.875366;1;0
AIR40635089;2019-12;92315;Big Bear Lake;Professionals;3;2;10;4454;8;0.75;742.3333333;5;3;NULL_STREET;34.24331;-116.92929;0;0
AIR40639926;2019-12;92284;Yucca Valley;2-5 Units;3;2;8;4400;13;0.230769231;1466.666667;4.5;2;NULL_STREET;34.14383;-116.41286;1;1
AIR40641951;2019-12;92315;Big Bear Lake;Single Owners;5;3.5;12;0;2;0;;;;NULL_STREET;34.24996;-116.93522;1;0
AIR40642577;2019-12;92252;Joshua Tree;Professionals;3;2;6;1079;4;0.75;359.6666667;5;1.5;NULL_STREET;34.12557;-116.31998;1;1
AIR40681570;2019-12;92315;Big Bear Lake;Professionals;5;4.5;15+;2032;2;0.5;2032;1;1;NULL_STREET;34.23781;-116.85695;0;0
AIR40703861;2019-12;92252;Joshua Tree;2-5 Units;3;2;8;159;1;1;159;1;1;NULL_STREET;34.13003;-116.31367;1;1
AIR40705272;2019-12;92314;Big Bear City;2-5 Units;3;3;8;500;1;1;500;2;1;NULL_STREET;34.23274;-116.84355;0;0
AIR40706007;2019-12;92315;Big Bear Lake;Professionals;3;2;8;644;4;0.5;322;2;2;NULL_STREET;34.237476;-116.863159;0;0
AIR40716764;2019-12;92315;Big Bear Lake;Single Owners;4;2;9;1600;5;0.4;800;8;2;NULL_STREET;34.24233;-116.88503;0;0
AIR40730979;2019-12;92315;Big Bear Lake;2-5 Units;5;4;10;6475;11;0.454545455;1295;5.5;2.5;NULL_STREET;34.23852;-116.85939;1;0
AIR40758845;2019-12;92315;Big Bear Lake;Professionals;4;3;10;6748;10;0.5;1349.6;9;2.5;NULL_STREET;34.25779;-116.88086;1;0
AIR40766311;2019-12;92252;Joshua Tree;Professionals;3;2;6;485;4;0.25;485;1;1;NULL_STREET;34.12854;-116.30663;1;0
AIR40783673;2019-12;92252;Joshua Tree;Single Owners;3;3;8;20897;5;0.6;6965.666667;1;1.5;NULL_STREET;34.16621;-116.25871;1;1
AIR40805665;2019-12;92315;Big Bear Lake;2-5 Units;3;3;10;2000;13;0.153846154;1000;8;2;NULL_STREET;34.23962;-116.91587;1;1
AIR40809583;2019-12;92315;Big Bear Lake;2-5 Units;3;2;8;1665;6;0.5;555;1;3;NULL_STREET;34.23516;-116.852;0;0
AIR40817298;2019-12;92315;Big Bear Lake;Professionals;3;2.5;10;8400;11;0.727272727;1050;6.2;1.6;NULL_STREET;34.23608;-116.86223;1;0
AIR4119166;2019-1;92315;Big Bear Lake;2-5 Units;3;2.5;12;14451.14011;31;0.838709677;555.813081;82;2.333333333;Waterview Drive;34.24372;-116.95682;1;0
AIR4224656;2019-1;92252;Joshua Tree;Professionals;3;2;8;1060.899979;31;0.161290323;212.1799957;47.75;1.5;NULL_STREET;34.08925;-116.36929;0;0
AIR4316721;2019-1;92315;Big Bear Lake;2-5 Units;5;3;12;11683.81009;31;0.64516129;584.1905045;83.11111111;2.444444444;Shasta Road;34.22897;-116.85459;1;0
AIR4332481;2019-1;92252;Joshua Tree;2-5 Units;3;2;6;899.9199829;31;0.064516129;449.9599915;47;7;Outpost Road;34.12698;-116.32455;1;1
AIR4350998;2019-1;92315;Big Bear Lake;Professionals;4;2.5;11;10718.8999;31;0.387096774;893.2416585;16.5;2.5;Tamarack Drive;34.23939;-116.88671;1;0
